Test Carried out on 9th August 2026, 11:21 AM

Reference resistance,Conductance (nS),Bio Mapping reading (nS),Error (%),Notes
10 kΩ,100000,99465,-0.54,
15 kΩ,66667,66396,-0.41,
22 kΩ,45455,45345,-0.24,
33 kΩ,30303,30261,-0.14,
47 kΩ,21277,21277,0.00,
68 kΩ,14706,14709,0.02,
100 kΩ,10000,9994,-0.06,
150 kΩ,6667,6667,0.00,
200 kΩ,5000,5000,0.00,
270 kΩ,3704,3705,0.03,
330 kΩ,3030,3030,0.00,
470 kΩ,2128,2128,0.00,
680 kΩ,1471,1472,0.07,
1 MΩ,1000,1001,0.10,
1.5 MΩ,667,669,0.30,
2.2 MΩ,455,457,0.44,
3.3 MΩ,303,306,0.99,
4.7 MΩ,213,215,0.94,
6.8 MΩ,147,149,1.36,
9 MΩ,111,114,2.70,
