Time (s),Raw Conductance (uS),Filtered Conductance (uS),Tonic Baseline (uS),Phasic Response (uS),IsPeak,PeakAmplitude,PeakLabel,Latitude,Longitude
0.000,5.0844,5.0844,4.4843,0.6001,0,,"",,
0.100,5.0785,5.0785,4.4906,0.5879,0,,"",,
0.200,5.0640,5.0640,4.4972,0.5668,0,,"",,
0.300,5.0481,5.0481,4.5041,0.5440,0,,"",,
0.400,5.0378,5.0378,4.5112,0.5266,0,,"",,
0.501,5.0278,5.0278,4.5185,0.5093,0,,"",,
0.601,5.0187,5.0187,4.5260,0.4927,0,,"",,
0.701,5.0099,5.0099,4.5337,0.4762,0,,"",,
0.801,4.9988,4.9988,4.5414,0.4574,0,,"",,
0.901,4.9868,4.9868,4.5493,0.4375,0,,"",,
1.001,4.9758,4.9758,4.5574,0.4184,0,,"",,
1.101,4.9663,4.9663,4.5655,0.4008,0,,"",,
1.201,4.9570,4.9570,4.5738,0.3832,0,,"",,
1.302,4.9481,4.9481,4.5821,0.3660,0,,"",,
1.402,4.9388,4.9388,4.5906,0.3482,0,,"",,
1.502,4.9280,4.9280,4.5991,0.3289,0,,"",,
1.602,4.9148,4.9148,4.6077,0.3071,0,,"",,
1.702,4.9007,4.9007,4.6164,0.2843,0,,"",,
1.802,4.8872,4.8872,4.6252,0.2620,0,,"",,
1.902,4.8765,4.8765,4.6340,0.2425,0,,"",,
2.002,4.8664,4.8664,4.6428,0.2236,0,,"",,
2.103,4.8569,4.8569,4.6518,0.2051,0,,"",,
2.203,4.8479,4.8479,4.6608,0.1871,0,,"",,
2.303,4.8387,4.8387,4.6698,0.1689,0,,"",,
2.403,4.8305,4.8305,4.6789,0.1516,0,,"",,
2.503,4.8269,4.8269,4.6881,0.1388,0,,"",,
2.603,4.8271,4.8271,4.7044,0.1227,0,,"",,
2.703,4.8296,4.8296,4.7209,0.1087,0,,"",,
2.803,4.8369,4.8369,4.7376,0.0993,0,,"",,
2.904,4.8478,4.8478,4.7545,0.0933,0,,"",,
3.004,4.8609,4.8609,4.7716,0.0893,0,,"",,
3.104,4.8785,4.8785,4.7888,0.0897,0,,"",,
3.204,4.8985,4.8985,4.8063,0.0922,0,,"",,
3.304,4.9130,4.9130,4.8239,0.0891,0,,"",,
3.404,4.9226,4.9226,4.8416,0.0810,0,,"",,
3.504,4.9326,4.9326,4.8595,0.0731,0,,"",,
3.604,4.9488,4.9488,4.8776,0.0712,0,,"",,
3.705,4.9647,4.9647,4.8958,0.0689,0,,"",,
3.805,4.9697,4.9697,4.9142,0.0555,0,,"",,
3.905,4.9704,4.9704,4.9327,0.0377,0,,"",,
4.005,4.9731,4.9731,4.9513,0.0218,0,,"",,
4.105,4.9778,4.9778,4.9701,0.0077,0,,"",,
4.205,4.9891,4.9891,4.9891,0.0000,0,,"",,
4.305,5.0087,5.0087,5.0083,0.0004,0,,"",,
4.405,5.0323,5.0323,5.0276,0.0047,0,,"",,
4.506,5.0624,5.0624,5.0472,0.0152,0,,"",,
4.606,5.1001,5.1001,5.0669,0.0332,0,,"",,
4.706,5.1514,5.1514,5.0869,0.0645,0,,"",,
4.806,5.2148,5.2148,5.1072,0.1076,0,,"",,
4.906,5.2726,5.2726,5.1277,0.1449,0,,"",,
5.006,5.3341,5.3341,5.1485,0.1856,0,,"",,
5.106,5.4009,5.4009,5.1695,0.2314,0,,"",,
5.206,5.4727,5.4727,5.1906,0.2821,0,,"",,
5.307,5.5534,5.5534,5.2118,0.3416,0,,"",,
5.407,5.6465,5.6465,5.2330,0.4135,0,,"",,
