timestamp,lat,lon,hdop,fix_type,em_fog,rssi_300,rssi_315,rssi_434,rssi_446,rssi_815,rssi_868,rssi_915
0.60,,,,,22.7,-78.5,-78.5,-81.0,-83.5,-91.5,-91.5,-91.5
1.30,,,,,21.6,-79.5,-78.5,-84.5,-84.0,-91.5,-91.5,-91.5
2.00,,,,,21.3,-74.5,-91.5,-81.0,-84.0,-91.5,-91.5,-91.5
2.70,,,,,22.9,-81.0,-78.5,-82.0,-79.0,-91.5,-91.5,-91.5
3.40,,,,,22.5,-78.5,-78.5,-81.0,-84.5,-91.5,-91.5,-91.5
4.10,,,,,20.5,-81.5,-78.5,-81.5,-91.5,-91.5,-91.5,-91.5
4.80,,,,,22.4,-82.0,-78.5,-81.0,-81.0,-91.5,-91.5,-91.5
5.50,,,,,20.4,-81.5,-84.5,-81.0,-83.5,-91.5,-91.5,-91.5
6.20,,,,,23.4,-82.0,-78.5,-81.0,-77.5,-91.5,-91.5,-91.5
6.90,,,,,22.7,-74.5,-78.5,-81.0,-91.5,-91.5,-91.5,-91.5
7.60,,,,,19.6,-81.0,-91.5,-82.0,-81.5,-91.5,-91.5,-91.5
8.30,,,,,20.3,-81.0,-91.5,-81.5,-79.5,-91.5,-91.5,-91.5
9.00,,,,,20.9,-81.0,-91.5,-77.5,-81.5,-91.5,-91.5,-91.5
9.70,,,,,23.4,-72.0,-91.5,-81.0,-79.0,-91.5,-91.5,-91.5
10.40,,,,,22.7,-81.0,-78.5,-81.0,-81.0,-91.5,-91.5,-91.5
11.10,,,,,21.4,-79.5,-78.5,-80.0,-91.5,-91.5,-91.5,-91.5
11.80,,,,,22.8,-77.5,-78.5,-81.5,-84.0,-91.5,-91.5,-91.5
12.50,,,,,20.5,-81.0,-84.5,-81.0,-84.0,-91.5,-91.5,-91.5
13.20,,,,,18.1,-81.5,-91.5,-84.5,-84.0,-91.5,-91.5,-91.5
13.90,,,,,20.3,-82.0,-84.5,-81.0,-83.5,-91.5,-91.5,-91.5
14.60,,,,,20.2,-82.0,-84.5,-81.5,-83.5,-91.5,-91.5,-91.5
15.30,,,,,20.7,-82.0,-84.5,-82.0,-81.0,-91.5,-91.5,-91.5
16.00,,,,,18.8,-82.0,-91.5,-82.0,-83.5,-91.5,-91.5,-91.5
16.70,,,,,18.3,-78.5,-91.5,-82.0,-91.5,-91.5,-91.5,-91.5
17.40,,,,,21.1,-81.0,-84.5,-79.0,-83.5,-91.5,-91.5,-91.5
18.10,,,,,24.3,-74.5,-78.5,-79.0,-84.0,-91.5,-91.5,-91.5
18.80,,,,,23.8,-73.0,-84.5,-80.5,-80.5,-91.5,-91.5,-91.5
19.50,,,,,20.8,-77.5,-91.5,-79.5,-83.5,-91.5,-91.5,-91.5
20.20,,,,,21.2,-81.0,-84.5,-78.5,-84.0,-91.5,-91.5,-91.5
20.90,,,,,23.3,-77.0,-78.5,-84.5,-79.5,-91.5,-91.5,-91.5
21.60,,,,,19.4,-80.5,-91.5,-81.0,-84.0,-91.5,-91.5,-91.5
22.30,,,,,22.1,-81.0,-78.5,-81.0,-83.5,-91.5,-91.5,-91.5
23.00,,,,,23.0,-81.5,-78.5,-82.0,-78.5,-91.5,-91.5,-91.5
23.70,,,,,21.6,-75.5,-91.5,-82.5,-80.0,-91.5,-91.5,-91.5
24.40,,,,,22.1,-73.5,-91.5,-82.0,-81.0,-91.5,-91.5,-91.5
25.10,,,,,22.3,-80.5,-80.5,-82.0,-80.0,-91.5,-91.5,-91.5
