# Calibrated: YES (CRC: 0xF1BE66C2)
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_300,rssi_315,rssi_434,rssi_446,rssi_815,rssi_868,rssi_915
0.30,56.3396472,-2.7895160,2.9,3,10.1,-76.5,-91.5,-81.0,-81.0,-91.5,-92.0,-91.5
1.00,56.3396487,-2.7895147,2.9,3,12.8,-79.0,-78.5,-78.0,-83.5,-91.5,-91.5,-91.5
1.70,56.3396510,-2.7895128,2.9,3,9.7,-81.0,-81.5,-82.0,-84.0,-91.5,-91.5,-91.5
2.40,56.3396532,-2.7895112,2.9,3,11.3,-76.5,-91.5,-79.5,-79.5,-91.5,-91.5,-91.5
3.10,56.3396560,-2.7895102,2.9,3,11.3,-81.0,-78.5,-81.0,-84.0,-91.5,-91.5,-91.5
3.80,56.3396597,-2.7895093,2.9,3,11.0,-73.5,-91.5,-81.0,-81.5,-91.5,-91.5,-91.5
4.50,56.3396665,-2.7895060,2.9,3,12.8,-77.5,-77.5,-81.0,-82.0,-91.5,-91.5,-91.5
5.20,56.3396722,-2.7895042,2.9,3,12.2,-81.0,-78.5,-81.0,-81.0,-91.5,-91.5,-91.5
5.90,56.3396782,-2.7894992,2.9,3,8.9,-81.5,-91.5,-81.5,-81.0,-91.5,-91.5,-91.5
6.60,56.3396848,-2.7894947,2.9,3,11.2,-80.5,-78.5,-81.0,-84.5,-91.5,-91.5,-91.5
7.30,56.3396918,-2.7894872,2.9,3,12.5,-74.5,-78.5,-81.5,-84.0,-91.5,-91.5,-91.5
8.00,56.3396970,-2.7894760,2.9,3,12.7,-78.5,-78.5,-78.0,-84.0,-91.5,-91.5,-91.5
8.70,56.3396993,-2.7894632,2.9,3,11.3,-73.0,-84.5,-81.0,-84.0,-91.5,-91.5,-91.5
9.40,56.3397020,-2.7894503,2.9,3,9.8,-76.5,-91.5,-79.0,-84.5,-91.5,-91.5,-91.5
10.10,56.3397055,-2.7894437,2.9,3,12.7,-79.0,-78.5,-81.0,-80.0,-91.5,-91.5,-91.5
10.80,56.3397083,-2.7894402,2.9,3,10.8,-79.0,-91.5,-81.0,-78.0,-91.5,-91.5,-91.5
11.50,56.3397128,-2.7894425,2.9,3,8.3,-77.5,-91.5,-82.0,-84.0,-91.5,-91.5,-91.5
12.20,56.3397205,-2.7894430,2.9,3,11.8,-75.5,-82.5,-81.0,-81.0,-91.5,-91.5,-91.5
12.90,56.3397303,-2.7894422,2.9,3,12.0,-81.0,-78.5,-81.5,-81.0,-91.5,-91.5,-91.5
13.60,56.3397398,-2.7894388,2.9,3,12.6,-74.5,-91.5,-81.0,-76.5,-91.5,-91.5,-91.5
14.30,56.3397495,-2.7894328,2.9,3,9.0,-81.5,-91.5,-79.0,-84.0,-91.5,-91.5,-91.5
15.00,56.3397585,-2.7894245,3.1,3,9.2,-81.0,-84.5,-82.0,-82.5,-91.5,-91.5,-91.5
15.70,56.3397682,-2.7894157,2.9,3,8.0,-80.5,-84.5,-83.5,-84.5,-91.5,-91.5,-91.5
16.40,56.3397758,-2.7894055,2.9,3,12.2,-81.0,-78.5,-81.0,-81.0,-91.5,-91.5,-91.5
17.10,56.3397798,-2.7893947,2.9,3,10.2,-75.5,-91.5,-81.0,-81.5,-91.5,-91.5,-91.5
17.80,56.3397835,-2.7893820,2.9,3,9.4,-79.5,-91.5,-81.0,-81.0,-91.5,-91.5,-91.5
18.50,56.3397853,-2.7893697,2.9,3,8.6,-81.0,-91.5,-81.0,-82.5,-91.5,-91.5,-91.5
19.20,56.3397860,-2.7893600,2.9,3,13.0,-77.5,-78.5,-84.5,-77.5,-91.5,-91.5,-91.5
19.90,56.3397875,-2.7893470,2.9,3,14.6,-69.5,-78.5,-81.0,-84.0,-91.5,-91.5,-91.5
20.60,56.3397877,-2.7893355,2.9,3,12.8,-81.0,-78.5,-82.0,-78.5,-91.5,-91.5,-91.5
21.30,56.3397875,-2.7893235,2.9,3,12.6,-74.5,-78.5,-81.0,-84.0,-91.5,-91.5,-91.5
22.00,56.3397923,-2.7893130,2.9,3,8.0,-81.0,-91.5,-81.0,-84.0,-91.5,-91.5,-91.5
22.70,56.3397968,-2.7893028,2.9,3,11.1,-72.5,-84.5,-82.5,-84.0,-91.5,-91.5,-91.5
23.40,56.3398027,-2.7892948,2.9,3,14.6,-73.5,-78.5,-81.5,-78.0,-91.5,-91.5,-91.5
24.10,56.3398115,-2.7892868,2.9,3,12.0,-71.0,-84.5,-81.5,-84.5,-91.5,-91.5,-91.5
24.80,56.3398163,-2.7892868,2.9,3,10.4,-78.0,-84.5,-81.0,-81.5,-91.5,-91.5,-91.5
25.50,56.3398182,-2.7892883,2.9,3,14.2,-73.5,-78.5,-81.0,-79.5,-91.5,-91.5,-91.5
26.20,56.3398255,-2.7892840,2.9,3,12.4,-80.0,-78.5,-81.0,-80.5,-91.5,-91.5,-91.5
26.90,56.3398332,-2.7892792,2.9,3,10.3,-84.5,-84.5,-81.0,-80.5,-91.5,-91.5,-91.5
27.60,56.3398408,-2.7892770,3.2,3,8.9,-81.0,-84.5,-81.5,-84.0,-91.5,-91.5,-91.5
28.30,56.3398490,-2.7892712,3.2,3,12.7,-80.5,-80.5,-79.5,-79.0,-91.5,-91.5,-91.5
29.00,56.3398572,-2.7892685,3.2,3,12.8,-78.5,-78.5,-81.5,-79.5,-91.5,-91.5,-91.5
29.70,56.3398653,-2.7892647,3.2,3,13.6,-79.0,-77.5,-81.0,-78.5,-91.5,-91.5,-91.5
30.40,56.3398737,-2.7892587,3.2,3,13.0,-73.5,-78.5,-81.0,-84.0,-91.5,-91.5,-91.5
31.10,56.3398813,-2.7892548,3.2,3,9.9,-80.0,-84.5,-82.0,-81.0,-91.5,-91.5,-91.5
31.80,56.3398902,-2.7892428,3.2,3,7.0,-80.0,-91.5,-84.0,-83.5,-91.5,-91.5,-91.5
32.50,56.3398997,-2.7892310,3.2,3,10.8,-78.0,-78.5,-84.0,-84.0,-91.5,-91.5,-91.5
33.20,56.3399090,-2.7892233,2.8,3,10.7,-73.5,-84.5,-82.5,-83.5,-91.5,-91.5,-91.5
33.90,56.3399182,-2.7892187,2.8,3,10.5,-74.5,-84.5,-81.5,-84.0,-91.5,-91.5,-91.5
34.60,56.3399275,-2.7892165,2.8,3,10.9,-81.0,-78.5,-82.5,-83.5,-91.5,-91.5,-91.5
35.30,56.3399365,-2.7892132,2.8,3,9.6,-78.5,-81.5,-83.5,-84.0,-91.5,-91.5,-91.5
36.00,56.3399455,-2.7892085,2.8,3,7.6,-77.5,-91.5,-83.5,-84.0,-91.5,-91.5,-91.5
36.70,56.3399540,-2.7892040,2.8,3,11.0,-81.0,-78.5,-82.0,-84.0,-91.5,-91.5,-91.5
37.40,56.3399625,-2.7892000,2.8,3,11.5,-75.5,-78.5,-83.5,-84.5,-91.5,-91.5,-91.5
