# Calibrated: YES (CRC: 0xF1BE66C2)
# Band Floors (dBm): 300:-82.5, 315:-91.5, 434:-91.5, 446:-91.5, 815:-91.5, 868:-91.5, 915:-91.5
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_300,rssi_315,rssi_434,rssi_446,rssi_815,rssi_868,rssi_915
0.00,,,,,12.2,-79.0,-81.0,-81.5,-78.5,-91.5,-91.5,-91.5
0.10,,,,,12.2,-79.0,-81.0,-81.5,-78.5,-91.5,-91.5,-91.5
0.20,,,,,12.2,-79.0,-81.0,-81.5,-78.5,-91.5,-91.5,-91.5
0.30,,,,,12.2,-79.0,-81.0,-81.5,-78.5,-91.5,-91.5,-91.5
0.40,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-91.5,-91.5,-91.5
0.50,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-91.5,-91.5,-91.5
0.60,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-91.5,-91.5,-91.5
0.70,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-91.5,-91.5,-91.5
0.80,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-91.5,-91.5
0.90,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-91.5,-91.5
1.00,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-91.5,-91.5
1.10,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.20,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.30,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.40,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.50,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.60,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.70,,,,,12.4,-79.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.80,,,,,12.6,-78.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
1.90,,,,,12.6,-78.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
2.00,,,,,12.6,-78.0,-81.0,-81.5,-78.0,-92.0,-92.0,-91.5
2.10,,,,,13.3,-78.0,-79.0,-81.5,-78.0,-92.0,-92.0,-91.5
2.20,,,,,13.3,-78.0,-79.0,-81.5,-78.0,-92.0,-92.0,-91.5
2.30,,,,,13.3,-78.0,-79.0,-81.5,-78.0,-92.0,-92.0,-91.5
2.40,,,,,13.3,-78.0,-79.0,-81.5,-78.0,-92.0,-92.0,-91.5
2.50,,,,,13.7,-78.0,-79.0,-80.0,-78.0,-92.0,-92.0,-91.5
2.60,,,,,13.7,-78.0,-79.0,-80.0,-78.0,-92.0,-92.0,-91.5
2.70,,,,,13.7,-78.0,-79.0,-80.0,-78.0,-92.0,-92.0,-91.5
2.80,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-92.0,-92.0,-91.5
2.90,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-92.0,-92.0,-91.5
3.00,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-92.0,-92.0,-91.5
3.10,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.20,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.30,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.40,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.50,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.60,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.70,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.80,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
3.90,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
4.00,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
4.10,,,,,13.9,-78.0,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
4.20,,,,,13.6,-80.5,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
4.30,,,,,13.6,-80.5,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
4.40,,,,,13.6,-80.5,-79.0,-80.0,-77.5,-91.5,-92.0,-91.5
4.50,,,,,11.6,-80.5,-86.5,-80.0,-77.5,-91.5,-92.0,-91.5
4.60,,,,,11.6,-80.5,-86.5,-80.0,-77.5,-91.5,-92.0,-91.5
4.70,,,,,11.6,-80.5,-86.5,-80.0,-77.5,-91.5,-92.0,-91.5
4.80,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
4.90,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.00,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.10,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.20,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.30,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.40,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.50,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.60,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.70,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.80,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
5.90,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.00,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.10,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.20,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.30,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.40,,,,,11.1,-80.5,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.50,,,,,11.1,-81.0,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.60,,,,,11.1,-81.0,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.70,,,,,11.1,-81.0,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.80,,,,,11.1,-81.0,-86.5,-81.5,-77.5,-91.5,-92.0,-91.5
6.90,,,,,12.4,-81.0,-81.0,-81.5,-77.5,-91.5,-92.0,-91.5
7.00,,,,,12.4,-81.0,-81.0,-81.5,-77.5,-91.5,-92.0,-91.5
7.10,,,,,12.4,-81.0,-81.0,-81.5,-77.5,-91.5,-92.0,-91.5
7.20,,,,,12.9,-81.0,-81.0,-80.0,-77.5,-91.5,-92.0,-91.5
