# Calibrated: NO
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_815,rssi_868,rssi_915
0.00,56.3396653,-2.7891950,2.5,3,10.1,-93.5,-94.0,-91.5
0.10,56.3396653,-2.7891950,2.5,3,10.1,-93.5,-94.0,-91.5
0.20,56.3396653,-2.7891950,2.5,3,10.1,-93.5,-94.0,-91.5
0.30,56.3396657,-2.7891935,2.5,3,10.1,-93.5,-94.0,-91.5
0.40,56.3396672,-2.7891920,2.5,3,10.1,-93.5,-94.0,-91.5
0.50,56.3396680,-2.7891908,2.5,3,10.1,-93.5,-94.0,-91.5
0.60,56.3396682,-2.7891912,2.5,3,10.1,-93.5,-94.0,-91.5
0.70,56.3396685,-2.7891908,2.5,3,10.1,-93.5,-94.0,-91.5
0.80,56.3396682,-2.7891925,2.5,3,10.1,-93.5,-94.0,-91.5
0.90,56.3396677,-2.7891937,2.5,3,10.1,-93.5,-94.0,-91.5
1.00,56.3396682,-2.7891950,2.5,3,10.1,-93.5,-94.0,-91.5
1.10,56.3396698,-2.7891942,2.5,3,10.1,-93.5,-94.0,-91.5
1.20,56.3396703,-2.7891942,2.5,3,10.1,-93.5,-94.0,-91.5
1.30,56.3396707,-2.7891948,2.5,3,9.4,-93.5,-96.0,-91.5
1.40,56.3396712,-2.7891952,2.5,3,9.4,-93.5,-96.0,-91.5
1.50,56.3396712,-2.7891962,2.5,3,9.4,-93.5,-96.0,-91.5
1.60,56.3396700,-2.7891972,2.5,3,9.4,-93.5,-96.0,-91.5
1.70,56.3396693,-2.7891988,2.5,3,9.4,-93.5,-96.0,-91.5
1.80,56.3396700,-2.7891995,2.5,3,9.4,-93.5,-96.0,-91.5
1.90,56.3396707,-2.7892007,2.5,3,9.7,-93.0,-96.0,-91.5
2.00,56.3396708,-2.7892012,2.5,3,9.7,-93.0,-96.0,-91.5
2.10,56.3396715,-2.7892017,2.5,3,9.7,-93.0,-96.0,-91.5
2.20,56.3396733,-2.7891987,2.5,3,11.5,-93.0,-91.5,-91.5
2.30,56.3396738,-2.7891992,2.5,3,11.5,-93.0,-91.5,-91.5
2.40,56.3396745,-2.7891992,2.5,3,11.5,-93.0,-91.5,-91.5
2.50,56.3396757,-2.7891995,2.5,3,11.5,-93.0,-91.5,-91.5
2.60,56.3396770,-2.7891983,2.5,3,10.2,-93.0,-91.5,-94.5
2.70,56.3396782,-2.7891968,2.5,3,10.2,-93.0,-91.5,-94.5
2.80,56.3396787,-2.7891980,2.5,3,10.2,-93.0,-91.5,-94.5
2.90,56.3396792,-2.7891972,2.5,3,9.9,-93.5,-91.5,-94.5
3.00,56.3396798,-2.7891960,2.5,3,9.9,-93.5,-91.5,-94.5
3.10,56.3396803,-2.7891960,2.5,3,9.9,-93.5,-91.5,-94.5
3.20,56.3396805,-2.7891960,2.5,3,8.4,-93.5,-94.5,-94.5
