# RecordingStartTime:1785503000
timestamp,lat,lon,hdop,pdop,sats,fix_type,speed_kts,course_deg,gsr_raw,hacc_m,rssi_815,rssi_868,rssi_915
0.00,55.9534158,-3.1897770,2.0,2.8,13,3,,,8534.2,1.6,-66.5,-101.5,-102.5
0.10,55.9534158,-3.1897770,2.0,2.8,13,3,,,8534.2,1.6,-66.5,-101.5,-102.5
0.20,55.9534158,-3.1897770,2.0,2.8,13,3,,,8534.2,1.6,-66.5,-101.5,-102.5
0.30,55.9534158,-3.1897770,2.0,2.8,13,3,,,8534.2,1.6,-66.5,-101.5,-102.5
0.40,55.9534158,-3.1897770,2.0,2.8,13,3,,,8534.2,1.6,-66.5,-101.5,-102.5
0.50,55.9534158,-3.1897770,2.0,2.8,13,3,,,8534.2,1.6,-66.5,-101.5,-102.5
0.60,55.9534158,-3.1897770,2.0,2.8,13,3,,,8534.3,1.6,-66.5,-101.5,-102.5
0.70,55.9534162,-3.1897757,2.0,2.8,9,3,,,8535.5,1.6,-66.5,-101.5,-102.5
0.80,55.9534165,-3.1897747,2.0,2.8,13,3,,,8554.2,1.6,-66.0,-101.5,-102.5
0.90,55.9534170,-3.1897738,2.0,2.8,13,3,,,8599.4,1.6,-66.0,-101.5,-102.5
1.00,55.9534172,-3.1897730,2.0,2.8,13,3,,,8664.5,1.6,-66.0,-101.5,-102.5
1.10,55.9534173,-3.1897722,2.0,2.8,13,3,,,8763.2,1.5,-63.0,-101.5,-102.5
1.20,55.9534177,-3.1897717,2.0,2.8,13,3,,,8877.9,1.5,-63.0,-101.5,-102.5
1.30,55.9534180,-3.1897708,2.0,2.8,13,3,,,8982.2,1.5,-63.0,-101.5,-102.5
1.40,55.9534183,-3.1897700,2.0,2.8,13,3,,,9063.6,1.5,-63.0,-101.5,-102.5
1.50,55.9534183,-3.1897700,2.0,2.8,13,3,,,9123.2,1.5,-60.5,-101.5,-102.5
1.60,55.9534187,-3.1897688,2.0,2.8,13,3,,,9156.5,1.5,-60.5,-101.5,-102.5
1.70,55.9534188,-3.1897683,2.0,2.8,13,3,,,9161.9,1.4,-60.5,-101.5,-102.5
1.80,55.9534190,-3.1897677,2.0,2.8,13,3,,,9173.2,1.4,-60.5,-101.5,-102.5
1.90,55.9534192,-3.1897672,2.0,2.8,13,3,,,9178.1,1.4,-60.5,-101.5,-102.5
2.00,55.9534195,-3.1897667,2.0,2.8,13,3,,,9177.3,1.4,-60.5,-101.5,-102.5
2.10,55.9534193,-3.1897663,2.0,2.8,13,3,,,9182.3,1.4,-60.5,-101.5,-102.5
2.20,55.9534195,-3.1897658,2.0,2.8,9,3,,,9188.0,1.4,-60.5,-101.5,-102.5
2.30,55.9534195,-3.1897653,2.0,2.8,13,3,,,9192.6,1.4,-60.5,-101.5,-102.5
2.40,55.9534195,-3.1897653,2.0,2.8,13,3,,,9200.0,1.3,-60.5,-101.5,-102.5
2.50,55.9534195,-3.1897648,2.0,2.8,13,3,0.25,221.3,9227.0,1.3,-60.5,-101.5,-102.5
2.60,55.9534198,-3.1897647,2.0,2.8,13,3,,,9252.8,1.3,-60.5,-101.5,-102.5
2.70,55.9534200,-3.1897638,2.0,2.8,12,3,,,9280.9,1.3,-60.5,-101.5,-102.5
2.80,55.9534200,-3.1897633,2.0,2.8,12,3,,,9299.5,1.3,-60.5,-101.5,-102.5
2.90,55.9534203,-3.1897632,2.0,2.8,12,3,,,9310.4,1.3,-60.5,-101.5,-102.5
3.00,55.9534207,-3.1897630,2.0,2.8,12,3,,,9320.3,1.3,-60.5,-101.5,-102.5
3.10,55.9534208,-3.1897627,2.0,2.8,12,3,,,9329.0,1.3,-60.5,-101.5,-102.5
3.20,55.9534212,-3.1897627,2.0,2.8,12,3,,,9325.1,1.3,-60.5,-101.5,-102.5
3.30,55.9534215,-3.1897623,2.0,2.8,12,3,,,9377.2,1.2,-60.5,-101.5,-102.5
3.40,55.9534218,-3.1897622,2.0,2.8,12,3,,,9469.2,1.2,-60.5,-101.5,-102.5
3.50,55.9534218,-3.1897622,2.0,2.8,12,3,,,9471.7,1.2,-60.5,-101.5,-102.5
3.60,55.9534220,-3.1897618,2.0,2.8,12,3,,,9435.5,1.2,-60.5,-103.0,-102.5
3.70,55.9534223,-3.1897612,2.4,3.0,12,3,,,9394.6,1.2,-60.5,-102.5,-102.5
3.80,55.9534215,-3.1897610,2.4,3.0,12,3,0.73,200.6,9369.6,1.2,-60.5,-102.5,-102.5
3.90,55.9534217,-3.1897608,1.9,2.5,12,3,,,9366.0,1.2,-60.5,-102.5,-102.5
4.00,55.9534217,-3.1897608,1.9,2.5,12,3,,,9376.7,1.2,-60.5,-102.0,-102.5
4.10,55.9534217,-3.1897608,1.9,2.5,12,3,,,9406.7,1.2,-60.5,-102.0,-102.5
4.20,55.9534217,-3.1897608,1.9,2.5,12,3,,,9456.8,1.2,-60.5,-102.0,-102.5
4.30,55.9534217,-3.1897608,1.9,2.5,12,3,,,9521.0,1.2,-60.5,-102.0,-102.5
4.40,55.9534217,-3.1897612,1.9,2.5,12,3,,,9622.9,1.2,-60.5,-102.0,-102.5
4.50,55.9534217,-3.1897612,1.9,2.5,12,3,,,9767.6,1.2,-60.5,-102.0,-102.5
4.60,55.9534217,-3.1897613,1.9,2.5,12,3,,,9899.6,1.2,-60.5,-102.0,-102.5
4.70,55.9534220,-3.1897617,1.9,2.5,12,3,,,10033.6,1.1,-60.5,-102.0,-102.5
4.80,55.9534220,-3.1897620,2.0,2.8,12,3,,,10142.6,1.1,-60.5,-102.0,-102.5
4.90,55.9534223,-3.1897627,2.0,2.8,12,3,,,10236.5,1.1,-60.5,-102.0,-102.5
5.00,55.9534225,-3.1897630,2.0,2.8,12,3,,,10314.2,1.1,-60.5,-102.0,-102.5
5.10,55.9534228,-3.1897635,2.0,2.8,10,3,,,10411.9,1.1,-60.5,-102.0,-102.5
5.20,55.9534230,-3.1897638,2.0,2.8,12,3,,,10525.1,1.1,-60.5,-102.0,-102.5
5.30,55.9534232,-3.1897643,2.0,2.8,12,3,,,10594.8,1.1,-60.5,-102.0,-102.5
5.40,55.9534233,-3.1897647,2.0,2.8,12,3,,,10627.3,1.1,-60.5,-102.0,-102.5
5.50,55.9534233,-3.1897647,2.0,2.8,12,3,,,10662.1,1.1,-60.5,-102.0,-102.5
5.60,55.9534235,-3.1897653,2.0,2.8,12,3,0.57,219.9,10681.9,1.1,-60.5,-102.0,-102.5
5.70,55.9534237,-3.1897648,1.9,2.5,12,3,1.22,238.3,10649.9,1.1,-60.5,-102.0,-102.5
5.80,55.9534240,-3.1897642,1.9,2.5,12,3,0.65,239.6,10634.6,1.1,-60.5,-102.0,-102.5
5.90,55.9534242,-3.1897632,1.9,2.5,12,3,,,10643.4,1.1,-60.5,-102.0,-102.5
6.00,55.9534238,-3.1897623,1.9,2.5,12,3,0.97,202.3,10624.9,1.1,-60.5,-102.0,-102.5
6.10,55.9534238,-3.1897628,2.1,2.5,10,3,0.75,200.6,10632.9,1.1,-60.5,-102.0,-102.5
